Nombre,Plataforma,Genero,V_Global,Score,ESRB,Exito
GT Advance Championship Racing,GBA,Racing,0.33,82.0,E,0
Super Bust-A-Move,GBA,Puzzle,0.05,77.0,E,0
Dark Summit,PS2,Sports,0.21,67.0,T,0
Sonic Adventure 2,DC,Platform,0.12,89.0,E,0
MLB 2002,PS,Sports,0.43,76.0,E,0
Empire Earth,PC,Strategy,0.05,81.0,T,0
Jonny Moseley Mad Trix,PS2,Sports,0.14,44.0,T,0
Giants: Citizen Kabuto,PS2,Shooter,0.06,79.0,T,0
Final Fight One,GBA,Fighting,0.21,82.0,E,0
Mat Hoffman's Pro BMX,GBA,Sports,0.27,71.0,E,0
Spyro: Season of Ice,GBA,Platform,2.23,74.0,E,1
Batman: Vengeance,GC,Adventure,0.26,70.0,T,0
Stunt GP,PS2,Racing,0.05,49.0,E,0
Maximo: Ghosts to Glory,PS2,Platform,0.77,84.0,T,0
Sonic Advance,GBA,Platform,2.24,87.0,E,1
Legaia 2: Duel Saga,PS2,Role-Playing,0.26,67.0,T,0
Tsugunai: Atonement,PS2,Role-Playing,0.06,67.0,T,0
Pikmin,GC,Strategy,1.63,89.0,E,1
Ford Racing,PS,Racing,0.86,53.0,E,0
18 Wheeler: American Pro Trucker,PS2,Racing,0.4,61.0,E,0
Scooby-Doo,GBA,Platform,0.46,64.0,E,0
Zone of the Enders,PS2,Shooter,0.75,78.0,M,0
SSX Tricky,XB,Sports,0.43,88.0,E,0
NBA Live 2002,XB,Sports,0.4,76.0,E,0
Toy Story Racer,PS,Racing,0.15,76.0,E,0
Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,1.9,90.0,T,1
Formula One 2001,PS2,Racing,0.26,73.0,E,0
Tetris Worlds,GBA,Puzzle,1.71,65.0,E,1
Stretch Panic,PS2,Platform,0.05,65.0,T,0
NASCAR Heat 2002,XB,Racing,0.2,78.0,E,0
ATV Offroad Fury,PS2,Racing,2.41,82.0,E,1
Motocross Mania,PS,Racing,0.79,34.0,E,0
NFL Quarterback Club 2002,GC,Sports,0.05,53.0,E,0
Amped: Freestyle Snowboarding,XB,Sports,0.82,78.0,E,0
Zone of the Enders: The Fist of Mars,GBA,Role-Playing,0.06,71.0,E,0
The Simpsons: Road Rage,XB,Racing,1.05,61.0,T,1
Fur Fighters: Viggo's Revenge,PS2,Action,0.14,64.0,T,0
Arctic Thunder,XB,Racing,0.12,57.0,T,0
Tiger Woods PGA Tour 2001,PS2,Sports,0.74,74.0,E,0
Bloody Roar 3,PS2,Fighting,0.35,71.0,T,0
F-Zero: Maximum Velocity,GBA,Racing,1.04,86.0,E,1
Harry Potter and the Sorcerer's Stone,GBA,Action,1.69,64.0,E,1
Ducati World Racing Challenge,PS,Racing,0.03,68.0,E,0
The Sims: House Party,PC,Simulation,2.16,74.0,T,1
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Fighting,0.75,81.0,T,0
Spy Hunter,PS2,Racing,1.67,84.0,T,1
F1 2001,XB,Racing,0.06,83.0,E,0
Vanishing Point,PS,Racing,0.1,68.0,E,0
Disney's Atlantis: The Lost Empire,PS,Platform,0.17,73.0,E,0
Resident Evil - Code: Veronica X,PS2,Action,2.34,84.0,M,1
Wave Rally,PS2,Racing,0.27,62.0,E,0
Spec Ops: Ranger Elite,PS,Shooter,0.87,48.0,T,0
Looney Tunes: Sheep Raider,PS,Platform,0.12,72.0,E,0
Tony Hawk's Pro Skater 3,GC,Sports,0.82,91.0,T,0
Kessen II,PS2,Strategy,0.46,71.0,T,0
Red Faction,PS2,Shooter,1.92,88.0,M,1
Tekken Advance,GBA,Fighting,0.45,82.0,T,0
Burnout,PS2,Racing,0.74,79.0,E,0
NFL 2K2,PS2,Sports,0.89,85.0,E,0
Microsoft Train Simulator,PC,Simulation,0.05,84.0,E,0
Super Dodge Ball Advance,GBA,Sports,0.2,79.0,E,0
Okage: Shadow King,PS2,Role-Playing,0.36,70.0,T,0
WarJetz,PS2,Shooter,0.04,59.0,T,0
NHL Hitz 20-02,PS2,Sports,0.56,78.0,E,0
"Monsters, Inc. Scream Team",PS,Platform,0.56,65.0,E,0
Rayman Advance,GBA,Platform,0.5,84.0,E,0
Pinobee: Wings of Adventure,GBA,Platform,0.08,61.0,E,0
Knockout Kings 2001,PS2,Fighting,0.56,81.0,T,0
All-Star Baseball 2002,PS2,Sports,0.56,77.0,E,0
4x4 Evolution,PS2,Racing,0.32,64.0,E,0
Silent Scope 2: Dark Silhouette,PS2,Shooter,0.19,64.0,M,0
Alienators: Evolution Continues,GBA,Action,0.03,54.0,E,0
Twisted Metal: Black,PS2,Racing,1.41,91.0,M,1
Frogger: The Great Quest,PS2,Platform,1.23,32.0,E,1
Dave Mirra Freestyle BMX 2,GBA,Sports,0.19,85.0,E,0
Mega Man X6,PS,Action,0.42,65.0,E,0
Soldier of Fortune: Gold Edition,PS2,Shooter,0.56,59.0,M,0
MX 2002 Featuring Ricky Carmichael,PS2,Racing,0.56,76.0,E,0
Test Drive Off-Road Wide Open,XB,Racing,0.18,64.0,E,0
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,5.42,66.0,E,1
Mario Kart: Super Circuit,GBA,Racing,5.47,93.0,E,1
Soul Reaver 2,PS2,Action,0.55,80.0,M,0
Super Mario Advance,GBA,Platform,5.49,84.0,E,1
Baldur's Gate: Dark Alliance,PS2,Role-Playing,1.24,87.0,T,1
Max Payne,XB,Shooter,1.22,89.0,M,1
Gradius Galaxies,GBA,Shooter,0.08,78.0,E,0
Fuzion Frenzy,XB,Misc,1.21,70.0,E,1
The Legend of Alon D'ar,PS2,Role-Playing,0.08,43.0,T,0
Driven,PS2,Racing,0.15,38.0,T,0
Rayman Arena,PS2,Racing,0.6,63.0,E,0
Half-Life,PS2,Shooter,0.6,87.0,M,0
NASCAR Heat 2002,PS2,Racing,0.6,81.0,E,0
Crazy Taxi,GC,Racing,0.49,69.0,T,0
NHL FaceOff 2001,PS2,Sports,0.2,57.0,E,0
Tony Hawk's Pro Skater 2,GBA,Sports,1.18,95.0,E,1
Worms World Party,PC,Strategy,0.02,75.0,E,0
Army Men: Green Rogue,PS2,Action,0.13,39.0,T,0
Shaun Palmer's Pro Snowboarder,GBA,Sports,0.36,58.0,E,0
Metal Slug X,PS,Shooter,0.09,85.0,T,0
World's Scariest Police Chases,PS,Racing,0.36,54.0,T,0
Disney's Tarzan Untamed,GC,Platform,0.18,61.0,E,0
Jeremy McGrath Supercross World,PS2,Racing,0.23,35.0,T,0
Boxing Fever,GBA,Sports,0.08,76.0,E,0
Driven,GBA,Racing,0.03,68.0,E,0
Breath of Fire II,GBA,Role-Playing,0.19,81.0,E,0
Hidden Invasion,PS2,Shooter,0.08,39.0,T,0
Namco Museum,GBA,Misc,4.24,79.0,E,1
Robopon 2: Ring Version,GBA,Role-Playing,0.02,68.0,E,0
FIFA Soccer 2002,GC,Sports,0.18,81.0,E,0
Tony Hawk's Pro Skater 3,PS2,Sports,4.41,97.0,T,1
Blood Wake,XB,Shooter,0.57,71.0,T,0
Batman: Vengeance,GBA,Adventure,0.18,68.0,E,0
Frequency,PS2,Misc,0.19,83.0,E,0
Extermination,PS2,Action,0.55,67.0,M,0
Batman: Vengeance,PS2,Adventure,0.55,68.0,T,0
Final Fantasy X,PS2,Role-Playing,8.05,92.0,T,1
Konami Krazy Racers,GBA,Racing,0.16,78.0,E,0
Silent Hill 2,PS2,Action,1.28,89.0,M,1
Portal Runner,PS2,Platform,0.13,53.0,E,0
Wizardry: Tale of the Forsaken Land,PS2,Role-Playing,0.09,70.0,T,0
Oni,PS2,Action,0.53,69.0,T,0
NCAA Final Four 2002,PS2,Sports,0.31,52.0,E,0
